primary_title,simple_title,genres,title_type,year,runtime_minutes,average_rating,num_votes
Party Monsters,party monsters,"Comedy,Drama,Horror",tvMovie,2015,NA,7.8,13
Mystery of Faceless Man: History of Monster,mystery of faceless man history of monster,Horror,video,2016,65,1.2,35
Monsterland,monsterland,"Comedy,Fantasy,Horror",movie,2016,108,4.7,644
Trailer Trauma 2: Drive-in Monsterama,trailer trauma 2 drivein monsterama,Horror,video,2016,203,7.3,52
Attack of Monster,attack of monster,"Comedy,Drama,Horror",video,2016,67,1.6,30
Monster Movie Night,monster movie night,"Crime,Drama,Horror",video,2012,NA,9.5,23
Hide the Monster,hide the monster,Horror,movie,2016,79,4.7,336
Monster Pool: Chapter Two,monster pool chapter two,Horror,movie,2016,97,5.1,43
Monster X,monster x,Horror,movie,2017,70,3.5,457
A Brilliant Monster,a brilliant monster,Horror,movie,2018,86,2.9,153
Monster Party,monster party,"Horror,Thriller",movie,2018,89,5.5,4808
Mon Mon Mon Monsters,mon mon mon monsters,"Comedy,Drama,Horror",movie,2017,113,6.3,1750
Monster,monster,Horror,movie,2018,90,5.3,197
Johnny in Monsterland,johnny in monsterland,Horror,movie,1990,120,7.4,14
Book of Monsters,book of monsters,"Action,Comedy,Horror",movie,2018,84,4.7,2325
Bad Monsters,bad monsters,"Animation,Comedy,Horror",movie,2018,66,6.2,23
The Horrific Evil Monsters,the horrific evil monsters,"Action,Comedy,Horror",movie,2021,70,2.5,734
Little Monsters,little monsters,"Comedy,Horror,Sci-Fi",movie,2019,93,6.3,19895
Little Monster,little monster,Horror,movie,2018,73,6.2,19
Moor-Monster 2,moormonster 2,"Action,Comedy,Horror",movie,2017,158,6.3,17
Monster Pool: Seven Deadly Sins,monster pool seven deadly sins,Horror,movie,2017,93,5.3,86
Monsterland 2,monsterland 2,Horror,movie,2019,73,4.2,2170
Home with a View of the Monster,home with a view of the monster,"Drama,Horror,Mystery",movie,2019,97,4.2,506
Making Monsters,making monsters,"Horror,Thriller",movie,2019,82,5.5,737
M.O.M. Mothers of Monsters,mom mothers of monsters,"Drama,Horror,Thriller",movie,2020,98,5.8,2414
"Murder Me, Monster",murder me monster,"Drama,Horror,Thriller",movie,2018,109,5.5,1095
No Such Thing As Monsters,no such thing as monsters,Horror,movie,2019,89,4,572
"Gigantis, the Fire Monster",gigantis the fire monster,"Action,Horror,Sci-Fi",movie,1959,78,4.2,214
